,Mass,Raideur,Friction,Amplitude,Time_Stop
1613,450,28000,5100,10.070128425568704,0.5918030249247306
1614,450,29000,5100,10.06844358419704,0.566619917481125
1615,450,30000,5100,10.06675884071402,0.5540283637593222
1616,450,31000,5100,10.065074195116209,0.5288452563157167
1617,450,32000,5100,10.063389647400173,0.5162537025939139
1618,450,33000,5100,10.06170519756248,0.5036621488721111
1619,450,34000,5100,10.060020845599697,0.4910705951503083
1620,450,35000,5100,10.058336591508393,0.47847904142850556
1621,450,36000,5100,10.056652435285132,0.46588748770670274
1622,450,37000,5100,10.054968376926487,0.4532959339849
1623,450,38000,5100,10.053284416429019,0.4407043802630972
1624,450,39000,5100,10.051600553789301,0.4407043802630972
1625,450,40000,5100,10.049916789003897,0.42811282654129446
1626,450,41000,5100,10.048233122069377,0.41552127281949164
1627,450,42000,5100,10.046549552982306,0.41552127281949164
1628,450,43000,5100,10.044866081739256,0.4029297190976889
1629,450,44000,5100,10.043182708336793,0.4029297190976889
1630,450,45000,5100,10.041499432771484,0.3903381653758861
1631,450,46000,5100,10.039816255039899,0.3903381653758861
1632,450,47000,5100,10.038133175138606,0.3777466116540833
1633,450,48000,5100,10.036450193064173,0.3777466116540833
1634,450,49000,5100,10.03476730881317,0.36515505793228054
1635,450,50000,5100,10.03308452238216,0.36515505793228054
1636,450,51000,5100,10.031401833767719,0.3525635042104778
1637,450,52000,5100,10.029719242966413,0.3525635042104778
1638,450,53000,5100,10.02803674997481,0.3525635042104778
1639,450,54000,5100,10.026354354789477,0.339971950488675
1640,450,55000,5100,10.024672057406988,0.339971950488675
1641,450,56000,5100,10.022989857823909,0.339971950488675
1642,450,57000,5100,10.02130775603681,0.3273803967668722
1643,450,58000,5100,10.01962575204226,0.3273803967668722
1644,450,59000,5100,10.017943845836825,0.3273803967668722
1645,450,60000,5100,10.01626203741708,0.31478884304506943
1646,450,61000,5100,10.014580326779594,0.31478884304506943
1647,450,62000,5100,10.012898713920931,0.31478884304506943
1648,450,63000,5100,10.011217198837667,0.31478884304506943
1649,450,64000,5100,10.00953578152637,0.30219728932326667
1650,450,65000,5100,10.007854461983605,0.30219728932326667
1651,450,66000,5100,10.00617324020595,0.30219728932326667
1652,450,67000,5100,10.004492116189969,0.30219728932326667
1653,450,68000,5100,10.002811089932235,0.28960573560146385
1654,450,69000,5100,10.001130161429316,0.28960573560146385
1655,450,70000,5100,10.0,0.28960573560146385
1656,450,71000,5100,10.0,0.28960573560146385
1657,450,72000,5100,10.0,0.28960573560146385
1658,450,73000,5100,10.0,0.2770141818796611
1659,450,74000,5100,10.0,0.2770141818796611
1660,450,75000,5100,10.0,0.2770141818796611
1661,450,76000,5100,10.0,0.2770141818796611
1662,450,77000,5100,10.0,0.2770141818796611
1663,450,78000,5100,10.0,0.26442262815785833
1664,450,79000,5100,10.0,0.26442262815785833
1665,450,16000,5300,10.11491213354195,3.374536397443144
1666,450,17000,5300,10.108486798368086,1.8131837359396
1667,450,18000,5300,10.102062939422243,1.3850709093983056
1668,450,19000,5300,10.095640556498369,1.1584229424058554
1669,450,20000,5300,10.089219649390428,1.019915851466025
1670,450,21000,5300,10.082800217892412,0.9317749754134055
1671,450,22000,5300,10.07998720780307,0.8562256530825889
1672,450,23000,5300,10.078304850352456,0.793267884473575
1673,450,24000,5300,10.076622590595207,0.7429016695863638
1674,450,25000,5300,10.074940428527896,0.7051270084209555
1675,450,26000,5300,10.073258364147096,0.6673523472555472
1676,450,27000,5300,10.071576397449382,0.6421692398119416
1677,450,28000,5300,10.06989452843133,0.6169861323683361
1678,450,29000,5300,10.068212757089515,0.5918030249247306
1679,450,30000,5300,10.066531083420514,0.566619917481125
1680,450,31000,5300,10.064849507420899,0.5540283637593222
1681,450,32000,5300,10.063168029087246,0.5288452563157167
1682,450,33000,5300,10.06148664841613,0.5162537025939139
1683,450,34000,5300,10.059805365404126,0.5036621488721111
1684,450,35000,5300,10.05812418004781,0.4910705951503083
1685,450,36000,5300,10.056443092343759,0.47847904142850556
1686,450,37000,5300,10.054762102288546,0.46588748770670274
1687,450,38000,5300,10.053081209878748,0.4532959339849
1688,450,39000,5300,10.05140041511094,0.4407043802630972
1689,450,40000,5300,10.049719717981702,0.4407043802630972
1690,450,41000,5300,10.048039118487601,0.42811282654129446
1691,450,42000,5300,10.046358616625222,0.41552127281949164
1692,450,43000,5300,10.044678212391135,0.41552127281949164
1693,450,44000,5300,10.04299790578192,0.4029297190976889
1694,450,45000,5300,10.041317696794154,0.4029297190976889
1695,450,46000,5300,10.039637585424408,0.3903381653758861
1696,450,47000,5300,10.037957571669262,0.3903381653758861
1697,450,48000,5300,10.036277655525295,0.3777466116540833
1698,450,49000,5300,10.034597836989077,0.3777466116540833
1699,450,50000,5300,10.032918116057193,0.36515505793228054
1700,450,51000,5300,10.031238492726212,0.36515505793228054
1701,450,52000,5300,10.029558966992717,0.3525635042104778
1702,450,53000,5300,10.027879538853279,0.3525635042104778
1703,450,54000,5300,10.02620020830448,0.3525635042104778
1704,450,55000,5300,10.024520975342897,0.339971950488675
1705,450,56000,5300,10.022841839965103,0.339971950488675
1706,450,57000,5300,10.021162802167678,0.339971950488675
1707,450,58000,5300,10.0194838619472,0.3273803967668722
1708,450,59000,5300,10.017805019300248,0.3273803967668722
1709,450,60000,5300,10.016126274223396,0.3273803967668722
1710,450,61000,5300,10.014447626713222,0.31478884304506943
1711,450,62000,5300,10.012769076766306,0.31478884304506943
1712,450,63000,5300,10.011090624379225,0.31478884304506943
1713,450,64000,5300,10.009412269548555,0.31478884304506943
1714,450,65000,5300,10.007734012270875,0.30219728932326667
1715,450,66000,5300,10.006055852542765,0.30219728932326667
1716,450,67000,5300,10.004377790360804,0.30219728932326667
1717,450,68000,5300,10.002699825721564,0.30219728932326667
